50 1000
2 1 956599483
3 2 630330946
4 3 549967747
5 1 936934787
6 1 558435624
7 4 561213477
8 3 509585342
9 5 759564673
10 9 524461600
11 8 733660120
12 5 527962201
13 2 838844447
14 13 838377075
15 1 971742687
16 13 628641268
17 1 625904100
18 11 550168207
19 14 760782744
20 2 570388690
21 14 817561411
22 13 834715863
23 20 843886202
24 11 629920329
25 13 941216648
26 8 640227380
27 17 711991707
28 3 692772730
29 16 596322035
30 18 639925738
31 20 773678960
32 21 743445315
33 15 658396196
34 29 677249966
35 17 605495770
36 7 731690099
37 11 811261112
38 9 943164150
39 36 863886174
40 31 981435198
41 23 949939761
42 21 601647761
43 21 785788852
44 32 920424689
45 23 550448668
46 36 609121144
47 6 562841221
48 45 675986151
49 27 934120303
50 42 788517861
18 34 530301615
14 42 565322498
29 28 946773151
30 28 693320496
10 43 596315998
21 39 992911508
16 17 645113581
15 45 792453527
43 34 937665224
17 34 574310821
17 46 551996635
6 18 876715056
21 12 604992860
46 37 534554754
17 14 692608245
43 17 760625983
43 1 811962381
32 19 542049194
13 36 566756362
41 33 806559244
49 39 914901473
26 17 997970633
34 1 903512918
25 16 601145133
17 45 726635162
19 10 777681632
19 25 901710813
48 7 927271395
22 15 803185881
31 43 591186085
24 19 534968823
26 50 806465051
27 29 756247771
19 7 964799753
20 35 903873646
38 46 913409601
8 29 693205561
4 46 700793821
23 24 876117248
28 46 550046939
35 15 534026222
41 28 558450864
46 16 502862761
35 29 905233825
43 2 844857123
30 20 972369675
50 31 982719759
27 6 668077531
30 19 855754808
28 15 940070379
36 1 535684142
26 34 880139259
49 30 876204303
4 50 986294143
42 1 580956229
6 30 896074620
20 45 759902109
28 26 756433548
22 18 508775377
40 35 780477687
16 47 815203634
16 18 797808513
49 6 593410005
43 15 785684865
3 33 982995639
36 15 500401674
9 28 766356842
35 8 680157430
35 27 650337195
25 49 927157950
23 36 984776321
15 6 759987237
2 11 544355803
37 24 535907696
50 20 762879045
14 15 780801298
43 40 647664242
15 17 966617305
8 20 880984721
18 35 554846969
17 8 974968473
38 37 918648461
2 23 898115102
22 43 939742822
23 3 507104051
5 16 846779467
14 18 858827216
3 9 792861144
7 14 821193945
49 34 946225667
8 9 793383594
27 36 870944706
33 29 816895787
1 14 942630343
19 50 771335855
2 26 867065600
45 42 894765181
49 12 509722893
43 49 793543027
46 31 885624422
41 10 959995212
38 49 912620722
34 11 560441782
2 21 559949357
38 5 524433054
49 20 972147200
8 24 836605560
11 29 546231137
16 37 938233417
46 44 760463165
42 5 941590085
8 12 632203103
16 38 878131686
47 1 895957771
30 36 574166971
3 40 805513804
48 22 670319524
41 13 860544121
19 42 774844781
27 26 845930966
12 24 903059091
15 49 760777294
39 42 776163532
13 49 512545888
49 41 544413428
43 48 661435185
26 11 704722752
15 24 862040030
13 23 758098510
6 36 811495999
35 38 518163545
48 50 781336262
41 48 526438093
46 45 770707189
24 40 823116542
1 29 628493675
27 44 993097040
7 49 763857072
22 27 656378474
31 39 555228178
38 12 539656504
44 24 780333641
42 32 533415299
8 25 520486320
4 36 999881781
33 49 525305750
2 40 909283919
12 50 543362239
36 47 596631361
36 26 890132188
9 14 529689969
24 1 894405120
31 37 688283909
29 46 593334367
40 26 539326321
31 7 699729404
21 5 547095658
24 20 564282475
38 43 643478678
49 22 514515532
10 26 620669308
16 33 585991759
46 11 886347745
37 4 914998258
16 39 746876783
49 46 907560953
18 39 735090473
21 18 545880604
6 50 794119204
31 2 643218394
31 9 762367204
27 15 688518265
23 39 776577735
42 26 627906254
48 12 909992622
48 3 834458574
5 41 925484225
40 8 629098504
12 43 747833151
50 14 915383595
8 2 941164963
49 36 926886057
5 34 915438034
24 25 686133273
21 8 606656294
7 43 508479616
22 40 813627839
21 27 613535963
18 29 968321838
23 48 780447070
42 3 870017740
39 35 742156474
12 4 776238600
34 35 652633807
8 19 616118765
30 12 504600155
19 2 727586931
32 33 961456048
25 40 818393214
45 7 994686751
24 32 573747108
10 20 510038748
13 38 708795397
35 45 988166546
28 50 817340112
42 2 960073374
35 25 748972535
33 5 743759176
35 50 834227467
21 23 877616928
48 40 794285948
11 12 574838941
30 11 557423252
2 7 730690114
25 29 953571219
16 11 875487265
40 44 839411346
34 6 871152106
47 14 780549686
26 13 837686081
36 19 900601650
9 30 502521255
47 10 569684159
38 15 634360852
19 11 797477794
31 13 606281780
31 27 518923176
20 22 879729458
33 4 641446292
21 28 613157678
1 50 855210051
43 45 740257226
47 17 810729914
44 2 711949261
13 9 626765072
14 12 613423168
46 33 511682051
16 8 790315673
38 10 804088615
46 12 943448069
3 37 962689704
9 48 631878439
19 46 615782357
11 14 616936378
11 6 670132721
6 37 964514854
19 1 924087473
38 39 730448300
32 14 733977989
11 22 677824350
17 42 816684731
37 10 843419535
41 40 824818234
17 49 501198336
50 2 658257852
24 47 911778962
36 29 737872136
4 43 924334809
7 13 520820802
34 30 882483969
19 43 780793072
29 22 724199264
42 46 735448487
50 27 843284065
42 12 521317112
44 25 856534463
41 46 543365446
29 31 875584104
30 17 700466022
24 27 550028016
49 23 769742461
8 27 936746270
9 16 698966745
2 35 744474299
16 21 512631600
50 13 734730002
25 10 732262074
6 48 742757710
16 20 513344845
5 29 628928363
41 44 614245805
48 13 776130189
31 3 728952370
23 46 947523550
44 22 999050147
48 35 868997523
49 26 542991152
40 36 528329794
22 47 689544885
2 47 621596074
6 43 974827475
2 34 654872760
14 26 817559478
19 35 666787293
47 13 575424095
23 9 519785926
14 20 992744478
47 40 992089399
39 22 642431611
27 16 901067149
3 14 850649823
29 39 716096223
13 24 519605171
47 50 618439117
3 15 858788973
12 16 645808008
9 37 632250911
45 44 615649900
15 47 808108103
30 16 940414734
49 18 591281612
4 39 899617191
44 33 660946031
41 15 884141300
18 13 927955217
37 49 809204455
23 15 756337764
1 22 873498483
48 14 990960084
22 5 554899839
4 41 826402792
40 46 994973810
32 10 762946869
27 14 591612968
49 45 740150664
40 32 936933951
11 35 782801701
28 24 624746235
39 2 603462970
28 23 973891999
13 42 722513652
43 26 843662914
36 5 531225460
5 44 904955914
26 35 592229199
26 15 617941921
38 45 959553676
18 43 861659151
27 48 963776235
41 35 517646967
20 1 751914186
14 22 586410283
38 26 681778700
22 37 720382110
4 47 574403007
24 6 802752023
14 40 513134552
6 13 660125706
9 39 505540433
38 1 949582778
21 33 583157783
50 25 974108719
26 3 585911516
41 11 953565502
47 44 585369606
27 43 820642729
1 45 617610280
44 8 709821145
31 49 778252657
15 21 784102257
1 16 799239149
6 17 589662065
29 47 635312225
20 33 747430397
18 8 835765489
43 25 786323296
33 43 629129225
27 38 584444392
36 35 839562332
24 17 957070353
38 22 942933682
41 30 644683813
44 9 639631420
40 19 619685435
1 7 612759969
42 11 928742741
26 24 531486017
32 27 981429955
38 17 599483699
